Route ID,Route Point Index,Delivery ID,Route Point Type,Route Point Time
26,5,168.0,DropOff,1422934168
26,6,189.0,Pickup,1422934561
26,7,189.0,DropOff,1422935491
27,0,33.0,Pickup,1422930720
27,1,33.0,DropOff,1422931340
27,2,74.0,Pickup,1422931740
27,3,74.0,DropOff,1422932559
27,4,93.0,Pickup,1422933558
27,5,93.0,DropOff,1422933856
27,6,164.0,Pickup,1422934500
27,7,164.0,DropOff,1422934597
28,0,84.0,Pickup,1422930720
28,1,84.0,DropOff,1422930906
28,2,29.0,Pickup,1422930960
28,3,29.0,DropOff,1422931314
28,4,44.0,Pickup,1422931630
28,5,44.0,DropOff,1422932225
28,6,98.0,Pickup,1422932774
28,7,98.0,DropOff,1422933525
28,8,170.0,Pickup,1422933740
28,9,170.0,DropOff,1422933910
28,10,172.0,Pickup,1422934215
28,11,172.0,DropOff,1422934366
28,12,206.0,Pickup,1422934538
28,13,206.0,DropOff,1422935063
29,0,35.0,Pickup,1422930780
29,1,35.0,DropOff,1422931262
29,2,67.0,Pickup,1422931620
29,3,67.0,DropOff,1422932399
29,4,157.0,Pickup,1422933165
29,5,157.0,DropOff,1422933283
29,6,188.0,Pickup,1422933330
29,7,188.0,DropOff,1422933464
29,8,167.0,Pickup,1422933562
29,9,167.0,DropOff,1422934747
30,0,50.0,Pickup,1422930780
30,1,50.0,DropOff,1422931598
30,2,105.0,Pickup,1422931920
30,3,105.0,DropOff,1422932383
30,4,94.0,Pickup,1422933042
30,5,94.0,DropOff,1422933159
30,6,127.0,Pickup,1422933243
30,7,127.0,DropOff,1422934338
31,0,23.0,Pickup,1422930840
31,1,23.0,DropOff,1422931728
31,2,125.0,Pickup,1422932241
31,3,125.0,DropOff,1422932835
31,4,175.0,Pickup,1422933449
31,5,175.0,DropOff,1422933950
31,6,178.0,Pickup,1422934771
31,7,178.0,DropOff,1422934905
32,0,43.0,Pickup,1422930840
32,1,43.0,DropOff,1422931947
32,2,133.0,Pickup,1422933118
32,3,133.0,DropOff,1422933804
33,0,61.0,Pickup,1422930840
33,1,61.0,DropOff,1422931098
33,2,42.0,Pickup,1422931812
33,3,42.0,DropOff,1422932760
33,4,138.0,Pickup,1422933004
33,5,138.0,DropOff,1422933287
33,6,150.0,Pickup,1422933592
33,7,150.0,DropOff,1422934310
33,8,159.0,Pickup,1422934556
33,9,159.0,DropOff,1422934962
34,0,17.0,Pickup,1422930900
34,1,17.0,DropOff,1422931753
34,2,152.0,Pickup,1422932972
34,3,152.0,DropOff,1422933628
35,0,52.0,Pickup,1422930960
35,1,52.0,DropOff,1422931491
35,2,75.0,Pickup,1422932100
35,3,75.0,DropOff,1422933046
35,4,161.0,Pickup,1422933995
35,5,161.0,DropOff,1422934846
36,0,72.0,Pickup,1422930960
36,1,72.0,DropOff,1422931429
36,2,137.0,Pickup,1422932232
36,3,137.0,DropOff,1422933403
36,4,169.0,Pickup,1422933522
36,5,169.0,DropOff,1422934206
37,0,41.0,Pickup,1422930960
37,1,41.0,DropOff,1422932381
37,2,110.0,Pickup,1422932524
37,3,110.0,DropOff,1422932590
37,4,91.0,Pickup,1422932710
37,5,91.0,DropOff,1422933156
37,6,153.0,Pickup,1422933607
37,7,153.0,DropOff,1422934001
38,0,39.0,Pickup,1422930960
38,1,39.0,DropOff,1422931055
38,2,53.0,Pickup,1422931200
38,3,53.0,DropOff,1422932502
38,4,190.0,Pickup,1422932826
38,5,190.0,DropOff,1422933600
38,6,204.0,Pickup,1422934369
38,7,204.0,DropOff,1422935394
39,0,26.0,Pickup,1422931020
39,1,26.0,DropOff,1422931854
39,2,122.0,Pickup,1422932665
39,3,122.0,DropOff,1422933245
39,4,111.0,Pickup,1422933849
39,5,111.0,DropOff,1422934714
40,0,30.0,Pickup,1422931020
40,1,30.0,DropOff,1422931949
40,2,70.0,Pickup,1422932261
40,3,70.0,DropOff,1422932787
40,4,112.0,Pickup,1422932970
40,5,112.0,DropOff,1422934346
41,0,34.0,Pickup,1422931020
41,1,34.0,DropOff,1422932060
41,2,126.0,Pickup,1422932900
41,3,126.0,DropOff,1422934071
42,0,32.0,Pickup,1422931020
42,1,32.0,DropOff,1422932209
42,2,162.0,Pickup,1422932411
42,3,162.0,DropOff,1422933422
42,4,144.0,Pickup,1422933915
42,5,144.0,DropOff,1422934312
42,6,171.0,Pickup,1422934405
42,7,171.0,DropOff,1422935778
43,0,64.0,Pickup,1422931020
43,1,64.0,DropOff,1422931109
43,2,59.0,Pickup,1422931320
43,3,59.0,DropOff,1422931642
43,4,90.0,Pickup,1422932132
43,5,90.0,DropOff,1422932899
43,6,119.0,Pickup,1422933410
43,7,119.0,DropOff,1422934457
44,0,88.0,Pickup,1422931020
44,1,88.0,DropOff,1422931367
44,2,82.0,Pickup,1422932106
44,3,82.0,DropOff,1422933052
44,4,136.0,Pickup,1422933528
44,5,136.0,DropOff,1422933926
44,6,166.0,Pickup,1422934271
44,7,166.0,DropOff,1422934738
44,8,184.0,Pickup,1422935144
44,9,184.0,DropOff,1422935947
45,0,66.0,Pickup,1422931080
45,1,66.0,DropOff,1422931531
45,2,57.0,Pickup,1422931847
45,3,57.0,DropOff,1422932326
45,4,180.0,Pickup,1422932821
45,5,180.0,DropOff,1422933417
45,6,195.0,Pickup,1422933792
45,7,195.0,DropOff,1422934721
46,0,51.0,Pickup,1422931080
46,1,51.0,DropOff,1422931526
46,2,128.0,Pickup,1422932160
46,3,128.0,DropOff,1422932709
46,4,160.0,Pickup,1422933199
46,5,160.0,DropOff,1422933623
46,6,123.0,Pickup,1422934184
46,7,123.0,DropOff,1422935281
47,0,56.0,Pickup,1422931080
47,1,56.0,DropOff,1422931893
47,2,116.0,Pickup,1422932734
47,3,116.0,DropOff,1422933950
48,0,55.0,Pickup,1422931140
48,1,55.0,DropOff,1422931303
48,2,129.0,Pickup,1422931680
48,3,129.0,DropOff,1422932498
48,4,193.0,Pickup,1422933356
48,5,193.0,DropOff,1422933724
48,6,197.0,Pickup,1422934014
48,7,197.0,DropOff,1422934463
49,0,5.0,Pickup,1422930300
49,1,5.0,DropOff,1422931278
49,2,45.0,Pickup,1422932355
49,3,45.0,DropOff,1422932741
49,4,25.0,Pickup,1422933658
49,5,25.0,DropOff,1422934528
50,0,16.0,Pickup,1422930360
50,1,16.0,DropOff,1422931207
50,2,102.0,Pickup,1422931818
50,3,102.0,DropOff,1422932739
50,4,101.0,Pickup,1422934160
50,5,101.0,DropOff,1422934907
50,6,196.0,Pickup,1422935994
50,7,196.0,DropOff,1422936499
51,0,12.0,Pickup,1422931200
51,1,12.0,DropOff,1422932265
51,2,95.0,Pickup,1422933083
51,3,95.0,DropOff,1422934159
51,4,186.0,Pickup,1422934238
51,5,186.0,DropOff,1422934809
